Timestamp,Total Memory (PSS) (MB)
2024-12-29 17:58:04,275.26
2024-12-29 17:58:06,277.90
2024-12-29 17:58:08,277.89
2024-12-29 17:58:10,214.41
2024-12-29 17:58:12,209.23
2024-12-29 17:58:15,213.20
2024-12-29 17:58:17,365.81
2024-12-29 17:58:19,363.40
2024-12-29 17:58:21,400.90
2024-12-29 17:58:24,425.64
2024-12-29 17:58:26,419.12
2024-12-29 17:58:28,416.40
2024-12-29 17:58:30,411.63
2024-12-29 17:58:32,412.76
2024-12-29 17:58:34,404.49
2024-12-29 17:58:36,404.27
2024-12-29 17:58:39,410.30
2024-12-29 17:58:41,412.27
2024-12-29 17:58:43,410.47
2024-12-29 17:58:45,358.66
2024-12-29 17:58:47,359.29
2024-12-29 17:58:50,353.08
2024-12-29 17:58:52,358.76
2024-12-29 17:58:54,350.96
2024-12-29 17:58:56,355.90
2024-12-29 17:58:59,351.06
2024-12-29 17:59:01,353.26
2024-12-29 17:59:03,364.26
2024-12-29 17:59:05,368.93
2024-12-29 17:59:08,372.22
2024-12-29 17:59:10,377.09
2024-12-29 17:59:12,381.42
2024-12-29 17:59:14,376.74
2024-12-29 17:59:17,382.92
2024-12-29 17:59:19,378.53
2024-12-29 17:59:21,378.51
2024-12-29 17:59:23,378.48
2024-12-29 17:59:26,379.71
2024-12-29 17:59:28,388.63
2024-12-29 17:59:30,389.85
2024-12-29 17:59:32,392.20
2024-12-29 17:59:35,387.38
2024-12-29 17:59:37,395.59
2024-12-29 17:59:39,390.77
2024-12-29 17:59:41,395.38
2024-12-29 17:59:44,390.58
2024-12-29 17:59:46,390.54
2024-12-29 17:59:48,391.67
2024-12-29 17:59:50,398.76
2024-12-29 17:59:53,401.14
2024-12-29 17:59:55,402.23
2024-12-29 17:59:57,403.17
2024-12-29 17:59:59,369.69
2024-12-29 18:00:02,371.83
2024-12-29 18:00:04,377.59
2024-12-29 18:00:06,372.76
2024-12-29 18:00:08,372.70
2024-12-29 18:00:10,372.67
2024-12-29 18:00:13,374.00
2024-12-29 18:00:15,379.19
2024-12-29 18:00:17,381.11
2024-12-29 18:00:19,380.17
2024-12-29 18:00:22,384.09
2024-12-29 18:00:24,384.11
2024-12-29 18:00:26,373.25
2024-12-29 18:00:28,368.47
2024-12-29 18:00:31,368.40
2024-12-29 18:00:33,368.41
2024-12-29 18:00:35,370.76
2024-12-29 18:00:37,378.80
