Job Index,Start Time (ms),End Time,Duration (ms),
1,22:27:20.137,22:27:20.635,498,902.829807107939
2,22:27:20.636,22:27:20.991,355,29945.3079680275
3,22:27:20.992,22:27:21.368,376,23118.3286576826
4,22:27:21.794,22:27:22.172,378,22514.1401519355
5,22:27:23.860,22:27:24.235,375,23423.4229105562
6,22:27:25.420,22:27:25.781,361,27904.7424507861
7,22:27:27.187,22:27:27.553,366,26259.2711864183
8,22:27:28.828,22:27:29.202,374,23730.5171634298
9,22:27:30.510,22:27:30.876,366,26259.2711864183
10,22:27:32.178,22:27:32.540,362,27571.6481979125
11,22:27:33.984,22:27:34.367,383,21038.6688875677
12,22:27:35.614,22:27:35.982,368,25615.0826806711
13,22:27:37.603,22:27:37.973,370,24978.894174924
14,22:27:39.141,22:27:39.521,380,21917.9516461884
15,22:27:40.824,22:27:41.224,400,16396.0665887171
16,22:27:42.581,22:27:42.960,379,22215.045899062
17,22:27:44.304,22:27:44.688,384,20749.5746346941
18,22:27:46.119,22:27:46.484,365,26584.3654392918
19,22:27:48.7,22:27:48.377,370,24978.894174924
20,22:27:49.519,22:27:49.883,364,26911.4596921654
21,22:27:51.151,22:27:51.527,376,23118.3286576826
22,22:27:52.970,22:27:53.341,371,24663.7999220505
23,22:27:54.570,22:27:54.956,386,20177.386128947
24,22:27:56.627,22:27:56.993,366,26259.2711864183
25,22:27:58.97,22:27:58.466,369,25295.9884277976
26,22:27:59.634,22:28:00.009,375,23423.4229105562
27,22:28:01.303,22:28:01.675,372,24350.7056691769
28,22:28:03.50,22:28:03.428,378,22514.1401519355
29,22:28:04.766,22:28:05.156,390,19057.0091174528
30,22:28:06.607,22:28:06.982,375,23423.4229105562
31,22:28:08.465,22:28:08.829,364,26911.4596921654
32,22:28:10.186,22:28:10.564,378,22514.1401519355
33,22:28:11.774,22:28:12.141,367,25936.1769335447
34,22:28:13.511,22:28:13.870,359,28576.9309565332
35,22:28:15.469,22:28:15.834,365,26584.3654392918
36,22:28:17.167,22:28:17.533,366,26259.2711864183
37,22:28:18.806,22:28:19.183,377,22815.2344048091
38,22:28:20.686,22:28:21.062,376,23118.3286576826
39,22:28:22.260,22:28:22.627,367,25936.1769335447
40,22:28:24.95,22:28:24.461,366,26259.2711864183
41,22:28:25.788,22:28:26.166,378,22514.1401519355
42,22:28:27.316,22:28:27.690,374,23730.5171634298
43,22:28:29.122,22:28:29.490,368,25615.0826806711
44,22:28:30.933,22:28:31.323,390,19057.0091174528
45,22:28:32.577,22:28:32.951,374,23730.5171634298
46,22:28:34.330,22:28:34.700,370,24978.894174924
47,22:28:36.4,22:28:36.373,369,25295.9884277976
48,22:28:37.680,22:28:38.048,368,25615.0826806711
49,22:28:39.590,22:28:39.963,373,24039.6114163033
50,22:28:41.154,22:28:41.534,380,21917.9516461884
51,22:28:42.764,22:28:43.132,368,25615.0826806711
52,22:28:44.568,22:28:44.934,366,26259.2711864183
53,22:28:46.236,22:28:46.594,358,28916.0252094068
54,22:28:47.887,22:28:48.258,371,24663.7999220505
55,22:28:49.598,22:28:49.969,371,24663.7999220505
56,22:28:51.492,22:28:52.392,900,138348.940151936
57,22:28:53.169,22:28:53.921,752,50154.8895772229
58,22:28:55.164,22:28:55.908,744,46635.6436002114
59,22:28:56.701,22:28:57.497,796,71798.7424507861
60,22:28:58.723,22:28:59.562,839,96691.6895772229
61,22:29:00.477,22:29:01.286,809,78934.5171634298
62,22:29:02.218,22:29:03.041,823,86997.1976231999
63,22:29:03.951,22:29:04.781,830,91175.537853085
64,22:29:05.467,22:29:06.297,830,91175.537853085
65,22:29:07.225,22:29:08.038,813,81198.1401519356
66,22:29:09.83,22:29:09.934,851,104298.55854274
67,22:29:10.928,22:29:11.734,806,77257.7999220505
68,22:29:12.598,22:29:13.404,806,77257.7999220505
69,22:29:14.408,22:29:15.229,821,85821.386128947
70,22:29:16.129,22:29:16.946,817,83493.7631404413
71,22:29:17.901,22:29:18.715,814,81769.045899062
72,22:29:19.821,22:29:20.630,809,78934.5171634298
73,22:29:21.533,22:29:22.342,809,78934.5171634298
74,22:29:23.323,22:29:24.140,817,83493.7631404413
75,22:29:25.74,22:29:25.887,813,81198.1401519356
76,22:29:26.781,22:29:27.597,816,82916.8573933149
77,22:29:28.571,22:29:29.170,599,5034.31026687806
78,22:29:30.390,22:29:30.780,390,19057.0091174528
79,22:29:32.26,22:29:32.376,350,31700.7792323953
80,22:29:33.843,22:29:34.228,385,20462.4803818206
81,22:29:35.681,22:29:36.024,343,34242.4390025102
82,22:29:37.402,22:29:37.790,388,19613.1976231999
83,22:29:38.990,22:29:39.336,346,33141.1562438895
84,22:29:40.951,22:29:41.318,367,25936.1769335447
85,22:29:43.48,22:29:43.411,363,27240.553945039
86,22:29:44.886,22:29:45.267,381,21622.8573933148
87,22:29:46.683,22:29:47.027,344,33873.3447496367
88,22:29:48.429,22:29:48.815,386,20177.386128947
89,22:29:50.231,22:29:50.582,351,31345.6849795217
