Job Index,Start Time (ms),End Time,Duration (ms)
1,22:27:20.137,22:27:20.635,498
2,22:27:20.636,22:27:20.991,355
3,22:27:20.992,22:27:21.368,376
4,22:27:21.794,22:27:22.172,378
5,22:27:23.860,22:27:24.235,375
6,22:27:25.420,22:27:25.781,361
7,22:27:27.187,22:27:27.553,366
8,22:27:28.828,22:27:29.202,374
9,22:27:30.510,22:27:30.876,366
10,22:27:32.178,22:27:32.540,362
11,22:27:33.984,22:27:34.367,383
12,22:27:35.614,22:27:35.982,368
13,22:27:37.603,22:27:37.973,370
14,22:27:39.141,22:27:39.521,380
15,22:27:40.824,22:27:41.224,400
16,22:27:42.581,22:27:42.960,379
17,22:27:44.304,22:27:44.688,384
18,22:27:46.119,22:27:46.484,365
19,22:27:48.7,22:27:48.377,370
20,22:27:49.519,22:27:49.883,364
21,22:27:51.151,22:27:51.527,376
22,22:27:52.970,22:27:53.341,371
23,22:27:54.570,22:27:54.956,386
24,22:27:56.627,22:27:56.993,366
25,22:27:58.97,22:27:58.466,369
26,22:27:59.634,22:28:00.009,375
27,22:28:01.303,22:28:01.675,372
28,22:28:03.50,22:28:03.428,378
29,22:28:04.766,22:28:05.156,390
30,22:28:06.607,22:28:06.982,375
31,22:28:08.465,22:28:08.829,364
32,22:28:10.186,22:28:10.564,378
33,22:28:11.774,22:28:12.141,367
34,22:28:13.511,22:28:13.870,359
35,22:28:15.469,22:28:15.834,365
36,22:28:17.167,22:28:17.533,366
37,22:28:18.806,22:28:19.183,377
38,22:28:20.686,22:28:21.062,376
39,22:28:22.260,22:28:22.627,367
40,22:28:24.95,22:28:24.461,366
41,22:28:25.788,22:28:26.166,378
42,22:28:27.316,22:28:27.690,374
43,22:28:29.122,22:28:29.490,368
44,22:28:30.933,22:28:31.323,390
45,22:28:32.577,22:28:32.951,374
46,22:28:34.330,22:28:34.700,370
47,22:28:36.4,22:28:36.373,369
48,22:28:37.680,22:28:38.048,368
49,22:28:39.590,22:28:39.963,373
50,22:28:41.154,22:28:41.534,380
51,22:28:42.764,22:28:43.132,368
52,22:28:44.568,22:28:44.934,366
53,22:28:46.236,22:28:46.594,358
54,22:28:47.887,22:28:48.258,371
55,22:28:49.598,22:28:49.969,371
56,22:28:51.492,22:28:52.392,900
57,22:28:53.169,22:28:53.921,752
58,22:28:55.164,22:28:55.908,744
59,22:28:56.701,22:28:57.497,796
60,22:28:58.723,22:28:59.562,839
61,22:29:00.477,22:29:01.286,809
62,22:29:02.218,22:29:03.041,823
63,22:29:03.951,22:29:04.781,830
64,22:29:05.467,22:29:06.297,830
65,22:29:07.225,22:29:08.038,813
66,22:29:09.83,22:29:09.934,851
67,22:29:10.928,22:29:11.734,806
68,22:29:12.598,22:29:13.404,806
69,22:29:14.408,22:29:15.229,821
70,22:29:16.129,22:29:16.946,817
71,22:29:17.901,22:29:18.715,814
72,22:29:19.821,22:29:20.630,809
73,22:29:21.533,22:29:22.342,809
74,22:29:23.323,22:29:24.140,817
75,22:29:25.74,22:29:25.887,813
76,22:29:26.781,22:29:27.597,816
77,22:29:28.571,22:29:29.170,599
78,22:29:30.390,22:29:30.780,390
79,22:29:32.26,22:29:32.376,350
80,22:29:33.843,22:29:34.228,385
81,22:29:35.681,22:29:36.024,343
82,22:29:37.402,22:29:37.790,388
83,22:29:38.990,22:29:39.336,346
84,22:29:40.951,22:29:41.318,367
85,22:29:43.48,22:29:43.411,363
86,22:29:44.886,22:29:45.267,381
87,22:29:46.683,22:29:47.027,344
88,22:29:48.429,22:29:48.815,386
89,22:29:50.231,22:29:50.582,351
90,22:29:52.68,22:29:52.453,385
91,22:29:53.798,22:29:54.138,340
92,22:29:55.548,22:29:55.929,381
93,22:29:57.276,22:29:57.620,344
94,22:29:59.213,22:29:59.598,385
95,22:30:00.761,22:30:01.107,346
96,22:30:02.608,22:30:02.985,377
97,22:30:04.271,22:30:04.617,346
98,22:30:06.618,22:30:06.997,379
99,22:30:08.391,22:30:08.742,351
100,22:30:10.280,22:30:10.654,374
101,22:30:12.62,22:30:12.424,362
102,22:30:13.920,22:30:14.304,384
103,22:30:15.722,22:30:16.067,345
104,22:30:17.538,22:30:17.921,383
105,22:30:19.85,22:30:19.429,344
106,22:30:20.777,22:30:21.160,383
107,22:30:22.484,22:30:22.838,354
108,22:30:24.126,22:30:24.529,403
109,22:30:25.896,22:30:26.249,353
110,22:30:27.794,22:30:28.180,386
111,22:30:29.431,22:30:29.768,337
112,22:30:31.82,22:30:31.461,379
113,22:30:32.817,22:30:33.180,363
114,22:30:34.772,22:30:35.153,381
115,22:30:36.501,22:30:36.860,359
116,22:30:38.386,22:30:38.776,390
117,22:30:39.893,22:30:40.240,347
118,22:30:41.740,22:30:42.128,388
119,22:30:43.288,22:30:43.627,339
120,22:30:44.936,22:30:45.316,380
121,22:30:46.618,22:30:46.976,358
122,22:30:48.275,22:30:48.653,378
123,22:30:49.952,22:30:50.293,341
124,22:30:51.723,22:30:52.103,380
125,22:30:53.631,22:30:53.972,341
126,22:30:55.130,22:30:55.516,386
127,22:30:56.883,22:30:57.231,348
128,22:30:58.528,22:30:58.910,382
