Job Index,Network duration (ms),Saving Image in Disk (ms),Plugin execution (ms),Python preprocessing (ms),Detection time (ms),Job time (ms),All process (ms)
91,190,23,2,378,414,825,852
92,56,18,1,373,383,790,810
93,43,12,2,359,513,898,916
94,51,112,14,268,330,627,815
95,131,4,1,217,225,456,486
96,154,5,1,111,247,367,397
97,21,6,0,159,204,375,415
98,196,5,1,109,221,338,344
99,458,6,1,165,202,377,383
100,26,5,0,107,238,353,375
101,325,5,1,146,210,364,392
102,210,17,0,106,220,339,379
103,116,9,1,143,197,353,1049
Averages,152 17 0 203 277 497 585
Standard Deviations,122,906 27,9106 0 101,691 96,8194 201,609 247,508
